time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,train/approx_kl,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
675,7,21,5250,-0.5424173676967621,600,39.833351135253906,0.3,67.12424491882324,0.00292257,283.05555555555554,0.0003,-0.002229742596205142,283.05555555555554,0.004159271717071533,0.00039999999105930326,,
679,8,22,5500,-0.5331418138742446,610,111.79306030273438,0.3,146.68833938598632,0.0064218254,283.05555555555554,0.0003,-0.006884505948447623,283.05555555555554,-0.0007668733596801758,0.011999999731779098,,
669,8,23,5750,-0.5314952445030212,620,41.50460433959961,0.3,71.16707237243652,0.007164716,294.4736842105263,0.0003,-0.014791130312516429,294.4736842105263,-0.0027054548263549805,0.012399999722838402,,
,,,6000,-0.5080538761615753,630,40.61298751831055,0.3,66.76431594848633,0.0004329728,,0.0003,-0.0007764273684881573,,-0.0012881755828857422,0.0,462.4,462.4
622,9,24,6000,,,,,,,294.4736842105263,,,294.4736842105263,,,,
629,9,25,6250,-0.5158262211084366,640,42.19390869140625,0.3,70.87949897766113,0.006676919,301.05,0.0003,-0.0017460926522913666,301.05,-0.0014467239379882812,0.004399999901652336,,
631,10,26,6500,-0.549602382183075,650,92.67620086669922,0.3,162.20248062133788,0.0022027164,308.85714285714283,0.0003,0.0008566411648168071,308.85714285714283,-0.0017635822296142578,0.0,,
630,10,27,6750,-0.5162191677093506,660,186.0415802001953,0.3,161.58548606872557,0.012899781,308.85714285714283,0.0003,-0.010228389922343198,308.85714285714283,-0.003846883773803711,0.04439999975264072,,
632,11,28,7000,-0.5379420047998429,670,40.976951599121094,0.3,70.43984062194824,0.0030189445,317.54545454545456,0.0003,-0.0020592048205071477,317.54545454545456,-0.0005431175231933594,0.0,,
633,11,29,7250,-0.5231778275966644,680,37.19887924194336,0.3,67.32460899353028,0.001957718,317.54545454545456,0.0003,-0.0010971517388566098,317.54545454545456,-0.006892085075378418,0.0,,
634,11,30,7500,-0.5190273422002792,690,42.25373077392578,0.3,70.19025581359864,0.00087128254,325.4782608695652,0.0003,-0.0007828387809550463,325.4782608695652,-4.112720489501953e-05,0.0,,
637,12,31,7750,-0.5168363600969315,700,41.579002380371094,0.3,67.04839904785156,0.009860865,325.4782608695652,0.0003,-0.01015608728178222,325.4782608695652,0.00018215179443359375,0.011199999749660492,,
,,,8000,-0.49818727850914,710,42.83531188964844,0.3,69.90801170349121,0.00051948166,,0.0003,-0.00026362538243688503,,-0.000834345817565918,0.0,287.0,287.0
624,12,32,8000,,,,,,,327.4583333333333,,,327.4583333333333,,,,
630,13,33,8250,-0.5251597654819489,720,40.999088287353516,0.3,178.1699909210205,0.006828461,322.76,0.0003,0.0015678854927188013,322.76,-0.00031578540802001953,0.01519999973475933,,
631,13,34,8500,-0.5105123877525329,730,33.31660461425781,0.3,59.729660720825194,0.0054386435,313.74074074074076,0.0003,-0.001685447842814014,313.74074074074076,0.8784361109137535,0.0035999999195337295,,
632,13,35,8750,-0.507563226222992,740,26.46886444091797,0.3,54.67074722290039,0.0014795049,313.74074074074076,0.0003,-0.0005241840869846825,313.74074074074076,0.8950620666146278,0.0,,
635,14,36,9000,-0.5159178215265274,750,33.770233154296875,0.3,64.06063537597656,0.0055677383,307.58620689655174,0.0003,-0.0042004923428612525,307.58620689655174,0.7543400079011917,0.005599999874830246,,
638,14,37,9250,-0.5061813127994538,760,23.731021881103516,0.3,44.799438858032225,0.0070238905,307.58620689655174,0.0003,-0.004588319810805857,307.58620689655174,0.9654313586652279,0.015199999809265136,,
639,14,38,9500,-0.49127815186977386,770,42.035438537597656,0.3,69.02476821899414,0.0023867297,308.9,0.0003,-0.004107524634076967,308.9,-0.0014812946319580078,0.004799999892711639,,
640,15,39,9750,-0.5007357543706894,780,57.028594970703125,0.3,199.171883392334,0.005712232,306.9032258064516,0.0003,-0.005023480824689628,306.9032258064516,-0.00013506412506103516,0.013999999687075614,,
,,,10000,-0.5093146842718125,790,184.96839904785156,0.3,202.1796467590332,0.02361098,,0.0003,0.002199474126752463,,-0.0001310110092163086,0.12280000001192093,447.0,447.0
625,15,40,10000,,,,,,,307.1875,,,307.1875,,,,
630,16,41,10250,-0.49971029579639437,800,126.37309265136719,0.3,200.48859954833983,0.006733524,307.1875,0.0003,-0.006624867348885157,307.1875,-0.00010216236114501953,0.01999999962747097,,
631,16,42,10500,-0.5282492977380753,810,40.29762649536133,0.3,68.3941535949707,0.00048539368,313.030303030303,0.0003,-0.0004050422157044409,313.030303030303,0.00014007091522216797,0.0,,
