time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/explained_variance,eval/mean_reward,eval/mean_ep_length
3607,0,1,250,,,,,,,,,,,,,,
1160,0,2,500,44.31068420410156,0.3,75.22585830688476,372.0,-0.0017990065799094168,0.002204368,0.0,0.0003,372.0,-0.6046607089042664,410,-0.003821730613708496,,
445,1,3,750,74.35084533691406,0.3,109.39997169494629,372.0,-0.004519296785979492,0.005417687,0.002799999937415123,0.0003,372.0,-0.5734248971939087,420,-0.0012934207916259766,,
385,2,4,1000,45.787078857421875,0.3,74.17947448730469,319.0,-0.0003476767321552643,0.0010113376,0.0,0.0003,319.0,-0.6121568095684051,430,-0.001578211784362793,,
370,3,5,1250,59.55427169799805,0.3,157.8786329650879,297.75,-0.009540088183603074,0.008338066,0.013199999704957008,0.0003,297.75,-0.5793112289905548,440,-0.0019980669021606445,,
395,3,6,1500,89.2632064819336,0.3,114.56714729309083,273.8,-0.013764898453885692,0.010564269,0.011199999824166298,0.0003,273.8,-0.5558953964710236,450,-0.011676669120788574,,
418,4,7,1750,74.80477142333984,0.3,116.9698568725586,266.3333333333333,-0.023378675348707533,0.00967804,0.03959999941289425,0.0003,266.3333333333333,-0.5334881329536438,460,-0.0008065700531005859,,
,,,2000,40.03110885620117,0.3,118.96353256225586,,0.00021413419457967818,0.0041197306,0.0011999999731779098,0.0003,,-0.5939675414562225,470,-0.0007511377334594727,220.6,220.6
415,4,8,2000,,,,249.375,,,,,249.375,,,,,
440,5,9,2250,163.75552368164062,0.3,171.60425979614257,241.22222222222223,-0.003959997911710538,0.026775211,0.1100000000745058,0.0003,241.22222222222223,-0.6019083189964295,480,-0.0003676414489746094,,
452,5,10,2500,109.96082305908203,0.3,123.10303215026856,215.1818181818182,0.00018646388460183516,0.0047037276,0.0011999999731779098,0.0003,215.1818181818182,-0.6259694719314575,490,-0.0006220340728759766,,
466,5,11,2750,93.17881774902344,0.3,177.59613204956054,207.30769230769232,-0.019838392876688163,0.016933227,0.0443999995291233,0.0003,207.30769230769232,-0.59425567984581,500,-0.00019872188568115234,,
464,6,12,3000,121.03904724121094,0.3,185.9396989440918,198.46666666666667,-0.020125495161442082,0.009274626,0.017999999597668646,0.0003,198.46666666666667,-0.6103455519676209,510,-0.0006395578384399414,,
465,6,13,3250,197.48529052734375,0.3,186.0606137084961,190.7058823529412,-0.0024336874087297388,0.0011110933,0.03639999978244304,0.0003,190.7058823529412,-0.6032308423519135,520,-0.00039887428283691406,,
476,7,14,3500,146.05038452148438,0.3,192.15862319946288,190.05555555555554,-0.017492191330314384,0.018304562,0.053199999257922174,0.0003,190.05555555555554,-0.583483612537384,530,-0.00039958953857421875,,
474,7,15,3750,68.05416107177734,0.3,133.3992449951172,178.52380952380952,-0.0010230067389558428,0.0005167279,0.0,0.0003,178.52380952380952,-0.594869555234909,540,-0.0003660917282104492,,
,,,4000,140.4282989501953,0.3,266.0802769470215,,-0.023696241615002514,0.019013766,0.10079999931156636,0.0003,,-0.5613959443569183,550,-9.679794311523438e-05,269.4,269.4
449,8,16,4000,,,,178.52380952380952,,,,,178.52380952380952,,,,,
400,10,17,4250,46.300201416015625,0.3,74.39803680419922,184.56521739130434,0.0017450766609283619,0.00019056236,0.0,0.0003,184.56521739130434,-0.5767189240455628,560,-0.004308819770812988,,
385,11,18,4500,142.20944213867188,0.3,206.853818359375,184.56521739130434,-0.002290179033763735,0.01607152,0.03279999978840351,0.0003,184.56521739130434,-0.5874882793426514,570,-0.0001876354217529297,,
388,12,19,4750,44.257205963134766,0.3,72.27669242858887,192.20833333333334,0.00051857043680684,0.00012804651,0.0,0.0003,192.20833333333334,-0.5709221625328064,580,-0.0023397207260131836,,
